Respondent_ID,Survey_Date,Q1_Age_Group,Q2_Gender,Q3_City,City_Tier,Q4_Income_Band,Q5_Education,Q6_Occupation,Q7_Marital_Status,Q8_Skin_Type,Q9_Skin_Concerns,Q10_Skin_Tone,Q11_Medical_Conditions,Q12_Past_Skin_Failure,Q13_Outdoor_Hrs,Q14_AC_Exposure,Q15_Stress_Level,Q16_Sleep_Hours,Q17_Exercise_Freq,Q18_Food_Type,Q19_Spice_Level,Q20a_Confidence,Q20b_Trendsetter,Q20c_BrandLoyal,Q20d_HealthInvest,Q20e_ChemWorry,Q21_Shopping_Personality,Q22_Trust_Source,Q23_Ingredient_Literacy,Q24_Eco_Importance,Q25_Daily_Products,Q26_Products_Used,Q27_Formulation_Pref,Q28_Traditional_Wear,Q29_Saree_Colors,Q30_Current_Spend,Q31_WTP_Band,Q31_WTP_INR,Q32_Purchase_Channel,Q33_AI_Comfort,Q34_Existing_Subs,Q35_Discovery_Channels,Q36_Satisfaction,Q37_Intent,Q37_Intent_Binary,Age_Numeric,Income_Numeric,Psychographic_Score,Wellness_Index,Engagement_Score
RESP1010,2024-12-22,18-22,Female,Mumbai,Tier-1,75K-1.2L,Postgraduate,Freelancer/Gig,Divorced/Separated/Widowed,Normal,Dullness/Uneven Tone|No Concern-Maintenance,Very Fair,Known Skin Allergies,Yes-Multiple Times,1-2 hrs,4-7 hrs,3.6,5-6 hrs,1-2x/week,Non-Veg Occasional,2.8,3.3,4.0,3.8,3.3,3.1,Research-First,Self Research Only,Know a few key ingredients,3.9,3-4 Products,Sunscreen/SPF|Vitamin C Serum|Face Wash/Cleanser|Under-eye Cream|Moisturiser/Day Cream,Natural/Ayurvedic Only,Rarely/Never,White/Cream|Blue/Navy,Rs1201-2500,600-999,800.0,Nykaa/Purplle/Tira|Dont Buy Skincare,3.8,No-Prefer One-time,YouTube Reviews|Online Search/Blogs,2.0,Probably Yes - Trial First,Interested,20,97000,3.53,2.13,3.03
RESP1011,2024-07-31,46+,Female,Chennai,Tier-1,75K-1.2L,Undergraduate,Self-Employed/Business,Single,Sensitive,Redness/Irritation,Wheatish/Medium,Diabetes|Known Skin Allergies,Yes-Multiple Times,<1 hr,>7 hrs,3.8,5-6 hrs,1-2x/week,Vegetarian+Eggs,2.7,4.9,4.1,3.9,2.5,3.7,Deal Seeker,AI Recommendation Engine,Know a few key ingredients,3.5,3-4 Products,Vitamin C Serum|Sunscreen/SPF|Moisturiser/Day Cream|Face Wash/Cleanser|Under-eye Cream|Hyaluronic Acid/Hydration,Science-backed/Clinical,Festivals/Occasions Only,Yellow/Gold|Pink/Rose,Rs1201-2500,600-999,800.0,Supermarket|Beauty Salon/Spa,2.6,No-Prefer One-time,YouTube Reviews|Influencer Reco|Ads (App/TV),2.0,Probably Yes - Trial First,Interested,52,97000,3.83,2.07,2.37
RESP1012,2024-06-28,36-45,Male,Lucknow,Tier-2,Prefer Not to Say,Postgraduate,Freelancer/Gig,Married-With Children,Oily,Acne/Pimples|Oiliness/Enlarged Pores,Wheatish/Medium,None,Yes-Once or Twice,3-5 hrs,>7 hrs,3.4,>8 hrs,1-2x/week,Non-Veg Occasional,3.9,4.2,2.3,2.0,3.5,3.7,Loyal Buyer,Doctor/GP,Know a few key ingredients,2.6,3-4 Products,Moisturiser/Day Cream|Toner/Mist|Niacinamide Serum|Face Wash/Cleanser|Sunscreen/SPF,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,600-999,800.0,Amazon/Flipkart|Supermarket|Social Commerce,3.6,Yes-One Sub,Dermatologist/Doctor,1.0,Probably Yes - Trial First,Interested,40,45000,3.33,2.87,2.7
RESP1013,2024-06-05,23-28,Female,Delhi/Ncr,Tier-1,40K-75K,Undergraduate,Salaried-Private,Married-With Children,Normal,No Concern-Maintenance,Very Dark,PCOS/PCOD|Known Skin Allergies,Yes-Once or Twice,>5 hrs,Rarely/Never,2.9,7-8 hrs,Daily,Purely Vegetarian,2.7,3.9,3.1,3.7,3.4,3.9,Loyal Buyer,AI Recommendation Engine,Understand most ingredients,3.4,3-4 Products,Face Wash/Cleanser|Moisturiser/Day Cream|Ayurvedic/Herbal Products|Sunscreen/SPF,Mix of Both,Festivals/Occasions Only,Orange/Saffron|Black/Charcoal|Green/Teal,Rs1201-2500,300-599,450.0,Nykaa/Purplle/Tira|Supermarket,2.5,No-Open to It,Online Search/Blogs,2.0,Definitely Yes,Interested,25,57000,3.47,3.37,2.63
RESP1014,2024-05-20,23-28,Female,Jaipur,Tier-2,40K-75K,Postgraduate,Salaried-Private,Single,Oily,Oiliness/Enlarged Pores,Fair,None,Yes-Once or Twice,1-2 hrs,>7 hrs,4.0,7-8 hrs,1-2x/week,Non-Veg Regular,3.2,1.9,2.9,4.0,3.8,2.2,Loyal Buyer,Self Research Only,Know a few key ingredients,3.3,5-7 Products,Face Wash/Cleanser|Sunscreen/SPF|Sheet Mask/Clay Mask|Moisturiser/Day Cream|Niacinamide Serum|Toner/Mist,Natural/Ayurvedic Only,Rarely/Never,Pink/Rose,Rs0,1000-1499,1250.0,Nykaa/Purplle/Tira,4.2,Yes-One Sub,Instagram/Reels|YouTube Reviews|Influencer Reco,2.4,Probably Yes - Trial First,Interested,25,57000,2.87,2.33,3.47
RESP1015,2024-08-16,23-28,Female,Bengaluru,Tier-1,75K-1.2L,Postgraduate,Student,Married-With Children,Oily,Acne/Pimples|Oiliness/Enlarged Pores,Wheatish/Medium,None,Yes-Multiple Times,3-5 hrs,1-3 hrs,3.2,>8 hrs,Daily,Non-Veg Occasional,4.4,3.6,3.5,2.3,4.3,2.5,Early Adopter,Dermatologist/Skin Specialist,Expert - research every ingredient,3.2,5-7 Products,Moisturiser/Day Cream|Vitamin C Serum|Face Wash/Cleanser|Under-eye Cream|Sunscreen/SPF|Niacinamide Serum|Toner/Mist,Natural/Ayurvedic Only,Festivals/Occasions Only,Blue/Navy,Rs1-300,1500-2499,2000.0,Local Pharmacy,1.0,Yes-One Sub,Instagram/Reels|In-store Trial|Ads (App/TV),3.2,Probably Yes - Trial First,Interested,25,97000,3.8,3.6,2.83
RESP1016,2024-06-18,23-28,Female,Patna,Tier-2,20K-40K,Undergraduate,Student,Single,Sensitive,No Concern-Maintenance,Very Dark,None,Yes-Once or Twice,>5 hrs,4-7 hrs,2.7,7-8 hrs,1-2x/week,Vegetarian+Eggs,4.3,3.3,2.5,3.0,2.1,2.2,Research-First,Self Research Only,Understand most ingredients,3.6,3-4 Products,Hyaluronic Acid/Hydration|Face Wash/Cleanser|Ayurvedic/Herbal Products|Sunscreen/SPF|Moisturiser/Day Cream,No Preference,Rarely/Never,Black/Charcoal|Pink/Rose,Rs0,600-999,800.0,Nykaa/Purplle/Tira|Local Pharmacy,3.8,No-Prefer One-time,Instagram/Reels|YouTube Reviews|Influencer Reco|In-store Trial,3.7,Probably Yes - Trial First,Interested,25,30000,2.63,2.77,3.2
RESP1017,2024-05-05,29-35,Male,Other Tier-2,Tier-2,40K-75K,Postgraduate,Salaried-Private,Married-With Children,Oily,Dark Spots/Pigmentation|Oiliness/Enlarged Pores|Redness/Irritation,Dusky/Olive,None,No-Lucky So Far,3-5 hrs,4-7 hrs,2.9,7-8 hrs,1-2x/week,Non-Veg Regular,3.5,3.3,2.9,3.4,3.1,3.8,Social Follower,Dermatologist/Skin Specialist,Expert - research every ingredient,2.0,8+ Products,Moisturiser/Day Cream|Sunscreen/SPF|Face Wash/Cleanser|Toner/Mist|Sheet Mask/Clay Mask|Niacinamide Serum,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,Would Not Subscribe,800.0,Nykaa/Purplle/Tira|Amazon/Flipkart|Local Pharmacy|Beauty Salon/Spa|Dont Buy Skincare,2.3,Yes-One Sub,Instagram/Reels|YouTube Reviews|Friends/Family|Online Search/Blogs|In-store Trial,2.1,Undecided,Not Interested,32,57000,3.1,2.7,2.5
RESP1018,2024-02-11,23-28,Female,Bengaluru,Tier-1,40K-75K,Undergraduate,Student,Single,Sensitive,No Concern-Maintenance,Very Dark,None,Yes-Multiple Times,1-2 hrs,Rarely/Never,1.5,<5 hrs,1-2x/week,Vegetarian+Eggs,2.9,2.0,2.9,3.7,2.8,3.7,Deal Seeker,Dermatologist/Skin Specialist,Understand most ingredients,1.3,None,Moisturiser/Day Cream|Hyaluronic Acid/Hydration|Face Wash/Cleanser|Sunscreen/SPF,Mix of Both,Rarely/Never,Purple/Violet|Black/Charcoal|White/Cream,Rs701-1200,600-999,800.0,Nykaa/Purplle/Tira|Brand Website D2C|Social Commerce,3.3,No-Prefer One-time,Ads (App/TV),2.8,Probably Yes - Trial First,Interested,25,57000,2.57,2.5,2.97
RESP1019,2024-04-13,23-28,Male,Bengaluru,Tier-1,Below 20K,Doctoral/Professional,Salaried-Private,Single,Oily,Dryness/Flakiness,Very Dark,Chronic Acne (Diagnosed),No-Lucky So Far,3-5 hrs,1-3 hrs,2.9,5-6 hrs,Never,Purely Vegetarian,3.1,2.4,3.3,2.3,4.6,1.7,Research-First,Close Friend/Family,Know a few key ingredients,4.2,1-2 Products,Niacinamide Serum|Sunscreen/SPF|Moisturiser/Day Cream|Toner/Mist|Face Wash/Cleanser,Science-backed/Clinical,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,Lt300,150.0,Nykaa/Purplle/Tira|Beauty Salon/Spa,3.3,No-Open to It,Instagram/Reels|YouTube Reviews|Friends/Family|Online Search/Blogs,4.0,Probably Yes - Trial First,Interested,25,15000,3.43,2.03,3.97
RESP1020,2024-06-10,29-35,Non-Binary,Chennai,Tier-1,40K-75K,Undergraduate,Student,Married-No Children,Normal,Dark Spots/Pigmentation|Oiliness/Enlarged Pores|Sun Damage/Tanning,Wheatish/Medium,None,Yes-Once or Twice,3-5 hrs,4-7 hrs,3.7,7-8 hrs,Daily,Purely Vegetarian,4.0,3.3,3.5,4.2,3.4,3.4,Research-First,Dermatologist/Skin Specialist,Know a few key ingredients,3.0,None,Moisturiser/Day Cream|Face Wash/Cleanser|Sunscreen/SPF,Mix of Both,Rarely/Never,Purple/Violet,Rs701-1200,600-999,800.0,Nykaa/Purplle/Tira|Amazon/Flipkart,1.5,No-Prefer One-time,Instagram/Reels|YouTube Reviews|Friends/Family|Online Search/Blogs,2.8,Probably Yes - Trial First,Interested,32,57000,3.4,3.1,2.57
RESP1021,2024-08-30,18-22,Female,Bengaluru,Tier-1,Above 1.2L,Postgraduate,Student,Married-No Children,Oily,Oiliness/Enlarged Pores|Redness/Irritation,Dusky/Olive,None,No-Lucky So Far,3-5 hrs,4-7 hrs,3.4,7-8 hrs,3-4x/week,Non-Veg Occasional,3.2,4.4,2.9,1.4,3.2,4.4,Social Follower,Dermatologist/Skin Specialist,Understand most ingredients,3.5,5-7 Products,Vitamin C Serum|Niacinamide Serum|Retinol/Anti-aging Serum|Sheet Mask/Clay Mask|Sunscreen/SPF|Collagen/Biotin Supplements|Toner/Mist|Moisturiser/Day Cream,Science-backed/Clinical,Daily,Yellow/Gold,Rs701-1200,2500plus,3000.0,Nykaa/Purplle/Tira|Amazon/Flipkart,3.9,Yes-One Sub,YouTube Reviews|Friends/Family,3.3,Definitely Yes,Interested,20,150000,3.5,2.87,3.47
RESP1022,2024-03-14,23-28,Male,Lucknow,Tier-2,Above 1.2L,Postgraduate,Freelancer/Gig,Married-With Children,Dry,No Concern-Maintenance,Fair,Eczema/Psoriasis|Thyroid Disorder,No-Lucky So Far,1-2 hrs,>7 hrs,4.5,>8 hrs,3-4x/week,Non-Veg Regular,2.7,2.9,2.9,4.4,4.0,2.8,Loyal Buyer,Self Research Only,Understand most ingredients,2.3,5-7 Products,Retinol/Anti-aging Serum|Face Wash/Cleanser|Sunscreen/SPF|Collagen/Biotin Supplements|Night Cream/Overnight Mask|Vitamin C Serum|Moisturiser/Day Cream|Hyaluronic Acid/Hydration,Science-backed/Clinical,Few Times/Week,Dont Wear Ethnic,Above Rs2500,600-999,800.0,Nykaa/Purplle/Tira|Local Pharmacy|Supermarket,3.3,No-Open to It,YouTube Reviews|Online Search/Blogs,3.8,Definitely Yes,Interested,25,150000,3.27,2.83,3.7
RESP1023,2024-06-03,23-28,Female,Nagpur,Tier-2,Below 20K,Undergraduate,Student,Divorced/Separated/Widowed,Oily,No Concern-Maintenance,Wheatish/Medium,Rosacea,Yes-Once or Twice,<1 hr,1-3 hrs,2.9,>8 hrs,3-4x/week,Non-Veg Regular,4.3,3.0,3.0,3.7,3.1,3.3,Early Adopter,AI Recommendation Engine,Understand most ingredients,4.2,5-7 Products,Sunscreen/SPF|Toner/Mist|Niacinamide Serum|Face Wash/Cleanser|Moisturiser/Day Cream,Science-backed/Clinical,Rarely/Never,Black/Charcoal|White/Cream,Rs0,Lt300,150.0,Nykaa/Purplle/Tira|Local Pharmacy,3.0,Yes-One Sub,YouTube Reviews|Online Search/Blogs|Influencer Reco,2.2,Undecided,Not Interested,25,15000,3.03,3.37,2.77
RESP1024,2024-03-20,23-28,Female,Lucknow,Tier-2,Below 20K,Undergraduate,Self-Employed/Business,Married-No Children,Combination,Oiliness/Enlarged Pores|No Concern-Maintenance,Dusky/Olive,None,No-Avoid New Products,3-5 hrs,>7 hrs,3.5,>8 hrs,3-4x/week,Non-Veg Occasional,3.4,5.0,4.4,2.6,3.6,3.7,Research-First,Brand Itself,Understand most ingredients,3.4,1-2 Products,Toner/Mist|Niacinamide Serum|Moisturiser/Day Cream|Ayurvedic/Herbal Products|Sunscreen/SPF|Face Wash/Cleanser,Science-backed/Clinical,Festivals/Occasions Only,Pastels/Muted|Orange/Saffron,Rs0,600-999,800.0,Local Pharmacy|Beauty Salon/Spa,3.3,Yes-Multiple Subs,Instagram/Reels|YouTube Reviews,2.0,Probably Yes - Trial First,Interested,25,15000,4.33,3.17,2.97
RESP1025,2024-12-27,36-45,Female,Nagpur,Tier-2,20K-40K,Undergraduate,Student,Single,Dry,Dryness/Flakiness|Sun Damage/Tanning,Wheatish/Medium,None,Yes-Multiple Times,1-2 hrs,4-7 hrs,3.8,5-6 hrs,Daily,Purely Vegetarian,2.7,3.1,1.1,4.0,5.0,1.7,Loyal Buyer,Close Friend/Family,Understand most ingredients,2.9,5-7 Products,Ayurvedic/Herbal Products|Moisturiser/Day Cream|Face Wash/Cleanser|Sunscreen/SPF|Hyaluronic Acid/Hydration|Night Cream/Overnight Mask|Sheet Mask/Clay Mask,Science-backed/Clinical,Festivals/Occasions Only,Pink/Rose|Red/Maroon,Rs701-1200,300-599,800.0,Amazon/Flipkart|Local Pharmacy,3.0,No-Prefer One-time,Friends/Family|Dermatologist/Doctor|Online Search/Blogs,4.2,Probably Yes - Trial First,Interested,40,30000,3.07,2.73,4.07
RESP1026,2024-06-18,23-28,Male,Chennai,Tier-1,Above 1.2L,Postgraduate,Freelancer/Gig,Married-With Children,Combination,Dullness/Uneven Tone,Dusky/Olive,None,Yes-Once or Twice,3-5 hrs,>7 hrs,5.0,>8 hrs,1-2x/week,Purely Vegetarian,3.6,3.3,1.8,2.3,5.0,3.2,Social Follower,Self Research Only,Read but understand little,3.4,1-2 Products,Retinol/Anti-aging Serum|Ayurvedic/Herbal Products|Face Wash/Cleanser|Collagen/Biotin Supplements|Sunscreen/SPF|Moisturiser/Day Cream|Toner/Mist|Under-eye Cream,Science-backed/Clinical,Rarely/Never,Dont Wear Ethnic,Above Rs2500,2500plus,3000.0,Amazon/Flipkart,3.7,No-Prefer One-time,Instagram/Reels|Friends/Family|Online Search/Blogs,3.4,Definitely Yes,Interested,25,150000,3.37,2.33,4.03
RESP1027,2024-10-08,29-35,Prefer Not To Say,Delhi/Ncr,Tier-1,20K-40K,Undergraduate,Freelancer/Gig,Married-No Children,Oily,No Concern-Maintenance,Dusky/Olive,None,Yes-Once or Twice,>5 hrs,4-7 hrs,3.2,7-8 hrs,3-4x/week,Vegetarian+Eggs,4.1,3.3,3.5,3.3,3.3,4.3,Deal Seeker,Dermatologist/Skin Specialist,Know a few key ingredients,1.5,5-7 Products,Sunscreen/SPF|Toner/Mist|Niacinamide Serum|Moisturiser/Day Cream|Face Wash/Cleanser,Mix of Both,Few Times/Week,White/Cream|Purple/Violet,Rs301-700,600-999,800.0,Amazon/Flipkart|Beauty Salon/Spa,2.4,No-Prefer One-time,Online Search/Blogs,1.8,Undecided,Not Interested,32,30000,3.37,2.93,2.5
RESP1028,2024-11-03,29-35,Female,Indore,Tier-2,75K-1.2L,Postgraduate,Self-Employed/Business,Married-No Children,Oily,Oiliness/Enlarged Pores|Fine Lines/Aging|Dark Circles/Puffy Eyes,Wheatish/Medium,None,Yes-Once or Twice,>5 hrs,>7 hrs,2.2,5-6 hrs,3-4x/week,Non-Veg Regular,2.3,2.2,3.1,3.4,3.5,2.4,Loyal Buyer,Self Research Only,Know a few key ingredients,3.4,1-2 Products,Sunscreen/SPF|Moisturiser/Day Cream|Under-eye Cream|Face Wash/Cleanser|Toner/Mist|Niacinamide Serum|Vitamin C Serum,Science-backed/Clinical,Festivals/Occasions Only,Black/Charcoal|Blue/Navy|Purple/Violet,Rs301-700,1500-2499,2000.0,Amazon/Flipkart|Local Pharmacy,3.7,Yes-Multiple Subs,Influencer Reco,2.1,Probably Yes - Trial First,Interested,32,97000,2.93,2.93,3.1
RESP1029,2024-06-03,18-22,Male,Hyderabad,Tier-1,Below 20K,Postgraduate,Self-Employed/Business,Single,Oily,Acne/Pimples|Oiliness/Enlarged Pores,Dark,None,Yes-Once or Twice,1-2 hrs,Rarely/Never,3.9,7-8 hrs,Daily,Vegan,3.0,3.9,3.1,3.4,3.1,3.8,Early Adopter,Doctor/GP,Read but understand little,4.4,1-2 Products,Niacinamide Serum|Face Wash/Cleanser|Moisturiser/Day Cream|Toner/Mist|Sunscreen/SPF,Natural/Ayurvedic Only,Few Times/Week,Dont Wear Ethnic,Rs1201-2500,600-999,800.0,Amazon/Flipkart|Brand Website D2C|Social Commerce,3.5,No-Prefer One-time,Influencer Reco|In-store Trial|Ads (App/TV),2.7,Probably Yes - Trial First,Interested,20,15000,3.37,3.03,3.1
